UnicodeRanges
	0020	024F
	2000	206F
	3000	303F
	3400	4DB5
	4E00	9FCB
	FF00	FFEF

FontOverride	Exo-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	SourceCodePro-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Titillium-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Akashi.ttf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Nobile-Regular.ttf	MFShangHei_Noncommercial_Light_CDE.otf

GameTitle	Children of a Dead Earth
Level1Tutorial13	我们再检查一下我们的救援舰队，选中正方形图标。
Level1Tutorial14	点击这个按钮来检查舰队，或者按快捷键[F]。
Level1Tutorial15	这支舰队由一座甲烷储藏空间站和一艘甲烷运输船组成，让我们检查一下运输船有多少Delta-V。
Level1Tutorial16	这艘运输船还可以装下更多的燃料，所以先让空间站给它加满燃料吧，现在选中甲烷储藏站。
Level1Tutorial17	现在启动甲烷储藏站的自动加燃料器，点击这里来启动它。
Level1Tutorial18	注意此时运输船的Delta-V会缓缓增加，这是因为储藏站在为它补充燃料，如果此时您关闭这个界面的话，加油最自动进行到加满为止。
Level1Tutorial19	我们还有一件事要做：将运输船和空间站分离成两个舰队，因为您没法拖着空间站去搞太空救援！在舰队检视界面点击这个按钮来将运输船标记为待分离单位。
Level1Tutorial20	很好！现在可以关闭检视界面，回到轨道界面了。
Level1Tutorial21	现在将镜头拉远到能够看见所有的舰队和它们的轨道，您可以看到遇险的货船正在外侧的高层轨道中，而空间站与运输船正在靠内的低层轨道。
Level1Tutorial22	时间充裕，我们先来看一下在太空中的轨道飞行是什么样子吧。点击右下角的‘运行片段’按钮，或者直接按[回车键]或[空格键].
Level1Tutorial23	如您所见，一小片段的时间过去了，舰队在沿着它们的轨道环绕月球飞行，你会注意到货船的轨道速度慢于运输船，这是因为在稳定轨道中，航天器在更近的高度中总是比更远的高度要快。
Level1Tutorial24	让我们把片段长度调到6小时吧。
Level1Tutorial25	再运行一个片段。
Level1Tutorial26	您可以灵活选择一个片段要运行多长时间，如果中途发生意外情况的话会自动暂停，现在，让我们将片段时间设为1小时。
Level1Tutorial27	现在是救援船出动的最好时机，请选中运输船，然后让我们开始规划航线。
Level1Tutorial28	点击这个按钮或按[T]来启动航线规划，您需要通过设计航线来改变轨道。
Level1Tutorial29	您会注意到原本绿色的轨道线现在变成了青色了，这就是舰队今后的航线。
Level1Tutorial30	如果此时您已选中了舰队，那么当您把鼠标移动到航线上时，您会看到“未来当舰队航行到此处时的天体位置”，当然也还会显示其他的舰队在那时候的位置 - 假如它们一直保持在原轨道上不动的话。
Level1Tutorial31	点击青色航线上的任意一处，我建议是点击距离你的舰队较近的地方。
Level1Tutorial32	在你选中一点会后，界面会显示当你的舰队航行至此时的情景。注意到红绿蓝三个球棍了吗？它们是用来控制推进器点火方案的。
Level1Tutorial33	蓝色的控制球用来控制离平面速度改变量，由于这次任务只涉及到二维平面上的变轨，因此不必考虑离平面，所以我强烈建议在本次任务中您不要乱碰这个控制球...
Level1Tutorial34	绿色的控制球用来控制径向速度改变量，可以理解为是靠近或远离环绕点...咳咳，或者您可以点击这个控制球来亲手试一下，试完后只要按鼠标右键或[ESC键]就能取消改变了。
Level1Tutorial35	红色的控制球用来控制切线速度改变量，这个是变轨时最常用的东西，主要用来扩大或缩小轨道。
Level1Tutorial36	选择切线速度控制球(红色)并扩大你的航线，直到航线与货船的轨道相交，你不用一直拖拽控制球，只要左键点一下它，然后移动鼠标，在得到满意的结果后再次点击左键就行了，如果效果不满意的话，可以按[ESC键]取消改变。
Level1Tutorial37	引擎燃烧量会显示在左侧，您可以点击红叉来取消掉不想要的变轨机动。
Level1Tutorial38	一旦航线与货船的轨道相交后，交点附近就会有个白色的星球图标，这代表在此时舰船已经靠得足够近，足以匹配入对方的轨道了，点击这个图标，然后选择匹配轨道。
Level1Tutorial39	很好，如果您的操作无误的话，航线会终止于白色菱形上，这代表舰队航至此处时就能进入那条轨道了。
Level1Tutorial40	确认无误后，运行片段直到救援船匹配入货船的轨道。
Level1Tutorial41	现在两船在同一个轨道了，但它们永远不会相遇，因为两船是在同一个轨道的两处，为了让它们相交，我们得主动让其中一方扩大或缩小轨道。
Level1Tutorial42	选中救援舰队，然后让我们进行一次轨道调相，请创建一个新航线方案。
Level1Tutorial43	选中青色航线中的任意一点，不过越靠近您的舰队意味着您的等待时间越短。
Level1Tutorial44	这一次我们依然只改变切线速度，调整切线速度控制球(红色)。您应该已经知道了当舰队在切线方向上加速时，轨道会扩大；当减速时，会缩小轨道。
Level1Tutorial45	随意拖拽一下，感受一下它的效果。
Level1Tutorial46	您可以随时将鼠标移动到航线上来显示此时您距离目标有多远，如果您的舰队是在目标的前面，那就放大轨道，让目标追上来；如果舰队是在目标后面，就缩小轨道来追上目标；如果舰队是在目标的正对面...我建议您先将舰队调整到一个不同的轨道，然后多等一会，等对方追上来，或者您追上了对方。按照这个原理，调整轨道，直到您看到一个绿色的交会图标，选中它来进行交会。
Level1Tutorial47	很好！绿色交会图标旁的菱形代表您的舰船会在此处顺利与遇险船只会合，运行片段直到两者顺利交会。
Level1Tutorial48	现在货船和甲烷运输船已经被自动编入一个舰队了，选择这个舰队。
Level1Tutorial49	检视它。
Level1Tutorial50	就像您用空间站给运输船加油的方式一样，用运输船给货船加满燃料。
Level1Tutorial51	然后再分离货船到独立的舰队，因为这次任务只要求我们把货船带回空间站嘛，哈哈。相信我，运输船的船员会自己找到回家的办法的。
Level1Tutorial52	现在返回到轨道界面。
Level1Tutorial53	注意此时货船的Delta-V，它现在已经有能力返回空间站了。
Level1Tutorial54	让我们设计一条返回空间站的新航线，请先选中货船的舰队。
Level1Tutorial55	这一次我们要来一些不同的操作，在轨道航天中，有无数种方案从一点飞到另一点。
Level1Tutorial56	同样的，在太空中也有无数种参考系，这一次让我们换个参考系，点击这里。
Level1Tutorial57	将参考系设置为甲烷储藏站。
Level1Tutorial58	现在舰队的航线会变得非常古怪，但实际上它并没有真的发生改变，这不过这里显示的是以空间站为固定观察者时，观察到的舰队航线。
Level1Tutorial59	重设参考系的意义在于，参考系的原点是永远不会移动的，你可以试试将鼠标移动到航线上任意一点，您会发现空间站永远不会移动。
Level1Tutorial60	选中航线中的一个点并规划新的变轨方案，同样的，我建议您依然选择距离您的舰队近一些的位置。
Level1Tutorial61	观察当您移动切线速度控制球(红色)时航线是怎么改变的。
Level1Tutorial62	在这个参考系中，您会发现在您操作时航线的变化很有悖于直觉，实际上轨道机动依然遵循着我之前提到的规则，只不过换了参考系后会看起来有些奇怪。如果您实在无法让航线与空间站交会的话，试试改变径向速度(拖拽绿色的控制球)。
Level1Tutorial63	使用红色和绿色的控制球(记住不要碰蓝色的，它是用来控制离平面的)，让航线尽可能近地经过空间站，直到出现绿色的交会图标，选择让两者交会。
Level1Tutorial64	规划完毕后，让我们把参考系换回月球。
Level1Tutorial65	选择月球作为当前的参考系。
Level1Tutorial66	以月球为参考系时，航线看上去就正常很多了，继续运行片段直到货船返回空间站。
Level1Failure	真不幸，您把这次任务搞砸了，但不用担心，重启任务，让我们再试一次吧。
Level1Success	任务完成！您已经掌握了轨道飞行的入门技巧，可以去执行更困难的任务了！

Level False Flag	自导自演
Level False Flag Description
	首先，请让我恭喜你在第一次任务中的出色表现，而且是一次及时的成功，因为就在眼下，我们有一份战斗任务要交给你，不必担心，我们为你提供的火力远胜过你的敌人，你的战术官也会手把手地指导你。
	几天之前，一艘属于太阳系联合贸易联盟的小型军舰据说叛逃了，并在木卫三附近袭击了我们的一艘货船，USTA拒不承认他们支持此类行动，但我们总司令部可不相信他们的声明，很可能这又是一次由USTA总部策划的挑衅行动，我们的谴责将会让我们在冲突中陷得越来越深。
	不过这是我们考虑的事情，你所要考虑的只是歼灭变节的星舰，木卫三是被多个势力共同控制，包括USTA在内的每一个太阳系中的势力都在木卫三有驻军，你将要指挥一艘位于木卫三轨道上的战舰去将敌舰轰成碎片，它的武器装备远胜于敌方，因此战斗的结果应该显而易见了。去吧，只要让你的战舰成功拦截到敌舰后，船员们应该就能处理剩下的事情了。
	你在这次任务中的敌手是USF的杰克·卡伦上校，一位以缺乏决断力却又鲁莽好斗而闻名的走卒，他干的唯一一件出名的事是在USTA攻略土卫二的战役中奉命攻击平民船。
Level False Flag ShortDescription	拦截一艘位于木卫三的敌舰并以压倒性的火力歼灭它。

Level2Tutorial1	您好，上将，不必为战斗担忧，现在，只管让战舰拦截到敌人的船只就好，战术官会指导您如何打赢战斗。
Level2Tutorial2	我还要提醒一下，此次任务中敌人的轨道是椭圆形而不是圆形，因此如果您还想重施上次任务的策略，通过轨道调相来追上敌人的话，我建议您在轨道的近地点进行机动以取得最好的效果。
Level2Tutorial3	还有一点，木星的引力会影响舰队的轨道，因此在变轨或轨道调相时要多花一些心思。
Level2Tutorial4	欢迎来到战场！游戏会在战斗开始时自动暂停，不过您可以在游戏选项里关掉这个设置。
Level2Tutorial5	首先，这里是测距面板，它显示了两军之间的距离，以及武器射程。白圈代表我方到敌人的距离，中间的箭头和数字表明了双方之间的相对速率和速度方向。
Level2Tutorial6	这里会告诉您我方会在多久后飞越敌舰(假设双方都保持现有速度)。
Level2Tutorial7	上面的红色菱形代表敌人，下面的绿色菱形代表您的战舰。现在选择您的战舰。
Level2Tutorial8	测距面板上的弧线代表武器射程，蓝色的弧线代表敌人在射程外，橙色代表敌人已经进入射程。
Level2Tutorial9	默认情况下所有武器都是自动开火，由于大部分武器都是安装在舰体两侧，因此一个常用的进攻策略是在进入射程后让战舰侧舷对敌，尽情输出伤害。
Level2Tutorial10	您可以点击这里来向舰船下达指令.
Level2Tutorial11	追击是让你的船以最大速度瞄准敌人径直撞上去，通常是用于导弹或无人机，如果您是给主力舰下达这个指令的话，确保在适当的时侯取消掉这个指令，否则就会真的同归于尽了。
Level2Tutorial12	现在选择敌舰。
Level2Tutorial13	在选择一艘敌舰后，测距面板会显示敌方的武器射程。.
Level2Tutorial14	您可以在这里要求炮手们集火射击敌方某个系统，一次性标定太多的目标会分散您的火力，因此我建议一次只标定一个目标，具体选择哪个目标，就有赖于您在战场上的战术决断了！
Level2Tutorial15	现在先随意下令集火一个他们的系统。
Level2Tutorial16	就这样了，您可以按[空格键]来解除暂停，祝您好运！
Level2Tutorial17	敌舰进入我们的射击范围了！现在，选中您的战舰。
Level2Tutorial18	此时，轨道炮的射程弧线是橙色而不是蓝色，这代表敌人已进入此武器的射程。
Level2Tutorial19	轨道炮位于战舰的侧面，在正面对敌时它们往往没有合适的射击角度，所以请点开这里来更改命令。
Level2Tutorial20	命令你的战舰侧舷对敌。
Level2Tutorial21	当敌人进入武器射程内后，武器就会自动开火，炮弹在命中敌人之前需要一段时间，因为我们两方之间间隔几十公里之远，按[空格键]来解除暂停。
Level2Tutorial22	敌舰中弹了！选中敌人的战舰来看看那里发生了什么。
Level2Tutorial23	在攻击敌人时，观察他们的窘态不只是心理上的快感，更能让您评估当前攻击方案的效果，如果您认为命中率不佳的话，尝试让炮手去瞄准更大更明显的目标。
Level2Tutorial24	您的战舰遭到攻击了！现在赶快选中它。
Level2Tutorial25	如果敌人的激光击中我们了，您不会看到任何明显的弹道特征，这是因为在真空中激光是不可见的，但是在激光命中的地方您会看到光斑和被融化的装甲。
Level2Tutorial26	我们受到严重伤害了！选择您的战舰。
Level2Tutorial27	注意我们刚刚损失了一个模块，很可能是敌方的激光武器的精确攻击效果。如果被摧毁的是炮塔的话，您可能需要下令对准方向来让战舰另一侧的武器能够继续攻击敌人。
Level2Tutorial28	我们击毁了敌人的一个模块！选择他们的战舰。
Level2Tutorial29	您可以在这里看到您刚刚摧毁的模块。
Level2Failure	你未能及时消灭叛乱的船只。
Level2Success	干得好！那个叛变的舰长现在再也不是个问题了。

Level Predatory Opportunism	血腥背刺
Level Predatory Opportunism Description
	考虑到你在上一次任务中的表现，我们总司令部认为你已经准备好去执行第一件危险的战斗任务了。哦当然，这一次你回来的也刚刚好。
	就在你迎击USTA在木卫三的‘叛变’船只时，我们发现了一系列的USTA侵略性行动，尤其是在主小行星带中。其中最值得注意的，是他们的一艘在小行星带巡逻的战舰在收到我们摧毁了他们‘叛变’船只的消息后，立刻掉转航向飞往水星。水星被我们和其他阵营联合管理，也是我们在战术运作上的关键支撑点。
	按照惯例，我们会向USTA发出威胁和警告要求他们不要侵犯我们的轨道空域，有时候还要再来一点贸易制裁，但到最后受损失最大的还是我们自己。
	然而问题来了，在近些年随着我们和太阳系联合贸易联盟的资产权利冲突越加严重，再加上他们在木卫三的侵略性行为，我们已经被迫做一些我们在正常情况下不会做的事情了。这一次，我们警告他们我们会直接摧毁擅入我们轨道空域的星舰，既然他们仍坚持这么做了，那我们也该兑现我们的警告了，你的任务是去摧毁那艘闯入水星轨道的战舰。
	水星是由我们和易洛魁复兴会共同控制，易洛魁复兴会是一个和USTA有着不愉快的过去的势力，我们总司令部正迫不及待地想利用这个优势，我们和他们达成了一个交易，他们关闭了水星上所有的星港，以换取我们遍布太阳系各地的燃料补给设施的使用权。
	现在，那艘敌舰正环绕在水星轨道上，无法靠港或着陆补充燃料，让它变成了一个坐以待毙的鸭子，正适合我们出击消灭它，我们在水星轨道上有一艘小型航母可以供你指挥，用它去把USTA战舰撕成碎片吧。
	不要理会任何他们发来的关于反击的警告，不要接受他们的投降，也不要理会他们关于水星轨道是非武装中立区的抗议。那艘战舰相当强力，它装备着射程相当远的线圈炮，事实上你有机会消灭它完全得益于对方缺乏燃料被困在了轨道上，我建议你保持你的旗舰在战斗范围外，线圈炮的射程远远长于你的旗舰上的任何武器，使用航母的无人机去消灭它。那艘敌舰由USF的阿勒科山德·周上校指挥，他是一个没有任何实战经验的菜鸟，但这不代表他不能在你的旗舰误入他的武器射程内时摧毁你。
	动作务必要快，USTA的支援舰队已经从小行星带出发了，我们估计你有15天的时间来完成任务，否则当敌方支援抵达时，我们不能冒险让你同一群燃料充足的敌舰交战，那时只能取消任务了。
Level Predatory Opportunism ShortDescription	摧毁一艘位于水星的离平面轨道的危险敌舰。

Level3Tutorial1	对于这次任务，上将，我建议使用无人机来消灭敌人，无人机的体积远比您的主力舰要小，因此它们可以靠近敌人而不会过早地遭受到火力拦截。
Level3Tutorial2	首先选中您的舰队，我会指导您如何发射无人机。
Level3Tutorial3	检视您的舰队，您可以使用快捷键[F]，也可以点击这个按钮。
Level3Tutorial4	您可以在无人机发射器的控制面板上发射无人机，并且决定发射的数量，默认情况下，他们在发射后会自动分离成一支独立的舰队，您可以点这个按钮来关闭自动分离。
Level3Tutorial5	需要注意的是，大多数无人机的Delta-V都很少，您可能需要让宿主船尽可能地接近敌舰的轨道，这样可以大幅减少无人机进行变轨时的Delta-V开销，比如在这次任务中，我建议您先让航母进入敌人的轨道，然后再发射无人机去截击敌人，否则的话，仅凭无人机自己的Delta-V很难变换到离平面轨道上。
Level3Tutorial6	放手去做吧，尽管实验新战术，找出一个最适合您的方案吧！
Level3Tutorial7	哦还有一点，通常来说无人机都会有一个默认指令，如果您希望将尽可能多的Delta-V留给战斗的话，可以取消默认指令，等敌舰进入射程时再重设指令，这样就可以避免无意义的机动浪费Delta-V。
Level3Failure	这次进攻失败了，在你摧毁敌舰全部的线圈炮之前，让你的主力舰保持在敌舰射程之外。
Level3Success	干得漂亮！我们在这场尚未开始的战争中取得了一个好的开始，上将。现在趁着对方援军还没到赶快撤退吧。

Level A Small Diversion	偶然意外
Level A Small Diversion Description
	我们的宣传机器已经开始将舆论引导到对我们有利的方向了，现在大半个太阳系都相信是USTA先开的火。正如我们所料，事态正如几个世纪前的福克兰群岛事件那样发展，USTA尚未对我们正式宣战，因此我们也没对他们宣战，但可以肯定的是，在接下来的几个月中肯定会有来自USTA的报复行动，因此我们也在全力备战以防他们不宣而战。
	在你这边，我们有一项新的任务要交给你，由于两国之间的冲突迫在眉睫，我们正在疏散所有位于USTA主要领土的军船民船，其中一艘科研船，由门多萨上校所指挥，正在飞往艾女星的路上，但是USTA控制着那个小行星上的每一座设施和轨道上的每一座空间站，因此我们要求那艘科研船立刻强行掉头返回智神星，当它进入智神星的轨道时，所剩的燃料已经寥寥无几了。
	然而我们在智神星附近并没有可调动的舰船，控制着大部分设施的新日本国拒绝为我们提供救援，我们怀疑是USTA迫使新日本国做出了这个决定，或许是通过金钱，或许是通过军事威胁。
	你的任务是指挥那艘科研船用仅存的那燃料前往我们控制的一座空间站，这可能有些紧迫，但我们确信你能办得到，而且这也是一次对你的轨道规划能力的锻炼。在他们的给养耗尽之前，你有15天的时间来完成任务。
Level A Small Diversion ShortDescription	利用极少的Delta-V让一艘环绕于智神星的科研船回到空间站上。

Level4Tutorial1	在这次任务中，您会发现哪怕很简单的机动都会耗尽舰船的Delta-V，燃料和时间的开销在变换轨道和航天器交会时总是存在的，然而这是您第一次因为没有足够的Delta-V而不能忽略这些开销。
Level4Tutorial2	为了最小化轨道机动的Delta-V开销，尝试在航线交会时让两者(舰船和空间站)保持一个尽可能相近的速度，您可以通过让航线以小角度插入目标轨道来实现，举个例子，当航线与目标轨道垂直相交时，进入轨道的开销是最大的，您可以理解为星舰不得不完全停下，然后再加速追上目标的轨道；而航线沿着目标轨道的切线插入轨道时开销是最小的，星舰在抵达交会点后只要做一点点机动就能完全进入目标轨道。
Level4Tutorial3	还有一个小提示，在自动计算舰队交会时，您不必精确点击绿色的交会图标，您点击绿色图标附近的任意位置都能选择在此地计算交会变轨方案，只不过耗费的Delta-V和时间会有所不同，这个规则对于其他同类指令，比如飞掠和拦截之类的也是适用的。
Level4Failure	我们完蛋了，谢谢你在最后一刻的努力，但我和我的船员们是没救了。
Level4Success	谢谢你！船员们已经开始担心我们要变成智神星轨道上的一个铁棺材了。下次在友港碰面时，我请你喝一杯。

Level Orbital Fallout	辐射星"尘"
Level Orbital Fallout Description
	正当你忙着疏散船只撤离USTA的星港时，似乎USTA有着完全相反的想法，一艘USTA的战舰在从土星起航后经过一段漫长的路途进入了爱神星的轨道，那是一个我们控制的小行星，毫无疑问这是一次公然的挑衅。
	尽管爱神星是一个非常小的小行星，我们在其上也没有多少人口，但事实上它有着重要的战略价值。
	只说一点，虽然我们在几乎所有的被我们控制的星体上都储备着武器，修建着星舰，但没有哪个的特殊性比得上爱神星，在爱神星的隐蔽船坞中，我们正在建造一条原型武库船，一个中等体积的主力舰，携带了数量惊人的核导弹，如果说我们有从大灾变中学到什么教训，那就是没有什么问题不能被核弹头解决的。
	显然，我们不能让我们的原型船落入敌人之手，但是我们所能调动的最近的战舰，是一艘位于王后星的护卫舰，要花费数以月计的时间才能飞过来，我们唯一所能做的，是让那艘几近完工的原型船立即下水去保护它自己，它还尚未填充燃料，但是已经填装上了一部分弹药和核导弹，这应该就足够了。
	来袭的USTA战舰是一艘装备核武器的导弹船，由USF的阿尔伯特·盖特纳上校指挥，我们没有此人的记录。我们之前已经多次向他发出警告，但他无视了我们所有的通讯。我们怀疑USTA已经探明了我们正在爱神星上建造原型船的情报，这也是为什么他们派盖特纳上校来到那的原因，所以我们毫不犹豫地决定要消灭他，但可以确定的是他也会毫不犹豫地与你交战。
	在这次任务中，你不必考虑Delta-V，你要做的就是待在轨道上尽情发射导弹，让导弹扑向敌人，记住当你的导弹掠过敌舰时速度越快，敌人能拦截你的导弹的时间就越少。
	你的任务就是消灭盖特纳上校的战舰，同时确保武库船和船坞不要被击毁。我们的宣传机器会处理这场太空核战的政治影响，所以不要犹豫，尽管把盖特纳上校变成一团辐射尘埃吧。
Level Orbital Fallout ShortDescription	保卫太空站，在不损失己舰的前提下摧毁敌舰。

Level5Tutorial1	这个任务是您第一次进行防御战，作为被动方，我的建议是先运行一个片段，看看对方打算出什么牌。
Level5Tutorial2	看起来对方打算立刻除掉您，当他们的导弹舰队拦截到您的舰队时，我们就会被拉入战斗界面。
Level5Tutorial3	当对方导弹来袭时，您应该发射热诱弹，热诱弹要持续发射，因为每一枚热诱弹只能维持有限的时间，但也不能发射太频繁，因为热诱弹的数量是有限的；同时您不能发射太早，这是一种浪费，但也不能发射太晚，否则不足以将敌人的导弹引到足够远的地方。
Level5Tutorial4	只要热诱弹的热量超过你的舰船本身的热信号，那么它就是有效的，这艘船的热信号就小于热诱弹的热量。此外，您还可以考虑用导弹来拦截导弹，通常来讲，1枚蹂躏者核导弹可以将一个导弹群削弱一半，记住当使用导弹来拦截导弹时，您需要择机手动引爆导弹，同时切记要关闭导弹的默认指令，防止它们因耗尽Delta-V而失效！
Level5Failure	我们在爱神星的战略物资已经被破坏到无法修复了。
Level5Success	千钧一发啊，上将。我们的造船工人们安全了，我们的原型船也保住了，可喜可贺！

Level Lagrange Point Graveyard	拉格朗日坟场
Level Lagrange Point Graveyard Description
	好吧，看来飞往小行星511的USTA舰队只不过是进行佯攻，它让我们从我们在小行星带的第二大要塞 - 谷神星转移了大量的战舰前往灶神星，然后它就调转航线直奔谷神星，我们只有一个月的反应时间，根本不足以召唤在外的战舰，也没有时间从别处调集援军。
	太阳系联合贸易联盟的战斗舰队抹平了我们在谷神星的防御舰队，除了它的旗舰。当战斗局势恶化时，残存的舰队牺牲了自己来掩护他们旗舰的撤退，慌忙之中旗舰进入了一个直奔太阳的自由落体轨道，所幸在最后关头它用残存的Delta-V进入了水星在地日系中的拉格朗日L_4点的蝌蚪形轨道，避免了一头扎进恒星的命运。
	坐在旗舰中的是我们尊敬的军事领袖，洋蒂·苏特查上将，谷神星防卫舰队的指挥官，他们仅剩下三个月的食物补给，毕竟他们也未曾料到会遇到这种情况，我们在水星轨道附近有一条甲烷运输船，指挥它在旗舰的补给耗尽前与其会合，之后我们会派更多的船去打捞旗舰，把他们带回水星，不过这是后话了，你这次的任务就是指挥运输船前去与旗舰会合，为他们运去至关重要的补给品。
Level Lagrange Point Graveyard ShortDescription	在补给耗尽前让救援船与位于水星的拉格朗日L_4点的遇险船只会合。

Level6Tutorial1	以防您还没发现，您可以通过这个按钮来开关拉格朗日点的显示，您会发现在这个任务中它非常有用。
Level6Tutorial2	全部的5个水星-太阳的拉格朗日点都已经显示出来了，然而，在这次任务中您只需关心L_4点，目标船只正被困在那里，现在请找到它。
Level6Tutorial3	目标船只正处于围绕这个点的蝌蚪形轨道当中，待会您可能需要将L_4点设为参考系。
Level6Tutorial4	首先您的救援船需要先逃逸出水星的轨道，并落入围绕太阳的轨道然后切入水星-太阳的L_4点，由于L_4点是在水星的“前面”，您需要让救援船进入一个半径小于水星公转半径的轨道，这样才能追上L_4点。
Level6Tutorial5	在规划航线时，您应该从距离太阳最近的那一点出发，这是因为救援船需要先向水星公转方向的反方向加速以落入恒星轨道，在离太阳最近的那一点只要加速就行了；若是在离太阳最远的那一点，则需要先减速再加速，这会浪费大量的Delta-V，而且还有一头扎进水星的风险。
Level6Tutorial6	只要选择了正确的点，通过改变切向速度(红色))来逃逸所要消耗的Delta-V会远小于改变径向速度(绿色)来逃逸所要消耗的燃料，我认为在最佳情况下，只要消耗不到1km/s的Delta-V就能逃逸出水星轨道了。
Level6Tutorial7	成功逃逸水星轨道的一个特征是航线一头扎向远方，而不是继续绕着水星转圈圈，等你完成了这个后，我们就该切换参考系了。
Level6Tutorial8	假定此时您的航线已经逃逸出水星轨道了，此时再以水星为参考系就没有意义了，将参考系设为太阳。
