UnicodeRanges
	0020	024F
	2000	206F





GameTitle	Children of a Dead Earth
Level1Tutorial3	Pan the camera by click-dragging with the left mouse button, or by holding [Shift] with the [W][A][S][D] keys.
Level1Tutorial4	Roll the camera by click-dragging the middle mouse button left and right, or by holding [Shift] with the [Q][E] keys.
Level1Tutorial5	That's it! Let's do a little wandering around this planetary system to get used to the camera controls. Select Earth right now. You may need to rotate your camera to find it on screen first.
Level1Tutorial6	Let's recenter the camera around our selection now. You can use this button, or with [C].
Level1Tutorial7	Good! However, there is little reason to interact with Earth right now, so let's return to Luna. Select Luna. It may create a dropdown menu when you select it since other objects are nearby.
Level1Tutorial8	Then recenter the camera again, to get us back to Luna.
Level1Tutorial9	Great! Also, if you ever need to review these messages, you can find them here.
Level1Tutorial10	Back out when ready.
Level1Tutorial11	The green diamond and square icons near Luna are your fleets of ships. Select the fleet indicated by the diamond shape.
Level1Tutorial12	This is a Cargo Freighter. Notice that its delta-v is zero, meaning this spacecraft can't change course at all, and is stuck in it's default orbit. Your mission is to refuel it.
Level1Tutorial13	Check on our other fleet. Select the square icon.
Level1Tutorial14	Inspect the fleet with this button, or with [F].
Level1Tutorial15	In this fleet, we have both a Methane Depot space station, and a Methane Tanker spacecraft. Take a look at the delta-v that the tanker has.
Level1Tutorial16	The Methane Tanker could use some more delta-v, so lets refuel it with the Methane Depot. Select the Methane Depot.
Level1Tutorial17	Now activate the Methane Depot's auto-refueler. Select the entire section to do so.
Level1Tutorial18	Notice that the Methane Tanker's delta-v is increasing as the depot refuels it. As soon as you exit this view, the refueling will finish automatically, so you don't have to wait for it.
Level1Tutorial19	We need to do one more thing: split the tanker out into a separate fleet so it can rendezvous with the stranded freighter. Split out the tanker now.
Level1Tutorial20	Good! Return to the orbital view.
Level1Tutorial21	Make sure you can see all of the fleets and their orbits right now. There should be the cargo freighter in a wide orbit, and two other fleets in the same tight orbit, right on top of one another.
Level1Tutorial22	Now run the turn. Either hit the Run Turn button, or hit [Enter] or [Space].
Level1Tutorial23	As you can see, a short amount of time passed, and all of the fleets orbited Luna. The Cargo Freighter orbited slower your other fleets. This is because objects in wider orbits move slower.
Level1Tutorial24	Let's make turns six hours long now.
Level1Tutorial25	Run another turn.
Level1Tutorial26	You can use this to speed up or slow down time like this as necessary. For now, lets stick with one hour long turns.
Level1Tutorial27	Let's select the Tanker, and then we'll begin orbital maneuvers.
Level1Tutorial28	Start a new trajectory with this button or with the [T] key. This will allow you to begin changing your orbit.
Level1Tutorial29	Notice that your green orbit has changed into a light blue line. That is your future trajectory, and you can add thruster burns to it to alter it's path.
Level1Tutorial30	Making sure your fleet is selected, mouse over parts of the trajectory. You'll see that it "looks into the future", showing where things are at that point in the future.
Level1Tutorial31	Select any position on the light blue trajectory line. Closer points to your fleet are closer in time.
Level1Tutorial32	Notice that we have effectively frozen the "future lookahead" to the time that your fleet will be at this point.
Level1Tutorial33	The blue thrust handle adds out-of-plane burns. This mission is entirely 2-dimensional, so there is no out of plane. Never use this handle for this mission.
Level1Tutorial34	The green thrust handle adds radial burns. This means directly towards Luna, or directly away from Luna.
Level1Tutorial35	The red thrust handle adds burns tangential to your orbit direction. It is the most efficient way to tighten or widen your orbit.
Level1Tutorial36	Select the tangential (red) handle now and widen your trajectory until it crosses the freighter's orbit. You do not need to hold down the mouse to move it.
Level1Tutorial37	Your burns appear on the left. You can select or clear them here if you make a mistake.
Level1Tutorial38	Once your trajectory intersects the freighter's orbit, a white planet icon will appear on your trajectory, indicating you are close enough to match the freighter's orbit. Click the icon to do so.
Level1Tutorial39	Good! If you have successfully matched the orbit, your trajectory will now be ending in a white diamond icon.
Level1Tutorial40	If you have matched the orbit, run the turn until the trajectory completes.
Level1Tutorial41	You're in the same orbit, but you'll never get closer to the target, because two fleets in the same orbit move at identical speeds. To catch them, we need either a wider or tighter orbit.
Level1Tutorial42	Making sure you have the fleet selected, let's do something called orbit phasing. Start a new trajectory.
Level1Tutorial43	Select any point on the light blue trajectory line. Points along the trajectory closer to your fleet are nearer in time.
Level1Tutorial44	We're only going to be using the tangential (red) thrust handle for this. In one direction, it will tighten your orbit, speeding you up. In the other direction, it will widen your orbit, slowing you down.
Level1Tutorial45	Drag the red handle in either direction to see how it affects your orbit.
Level1Tutorial46	Every time you change your orbit, mouse over your trajectory to see how close you get to your destination. If you are still ahead after one orbit, widen it. If you are behind after one orbit, tighten it. Tweak it until you get a green join icon, and then select it to join.
Level1Tutorial47	Excellent! The diamond around the green join icon indicates that your ships have a confirmed join. Run the turn until they join.
Level1Tutorial48	Now that the Cargo Freighter and the Methane Tanker are in the same fleet, select the new fleet.
Level1Tutorial49	Inspect it now.
Level1Tutorial50	In the same way as you fueled up the Methane Tanker, fuel up the Cargo Freighter.
Level1Tutorial51	Also, split out the Freighter. No reason to have the Methane Tanker tagging along with us at this point.
Level1Tutorial52	Return to orbital view.
Level1Tutorial53	Note the delta-v of the Freighter now. It should have enough to make it back to the original Methane Depot.
Level1Tutorial54	Let's start a new trajectory to return back to the depot. Make sure the fleet is selected first.
Level1Tutorial55	Rather than execute a similar set of maneuvers, let's do things a little bit differently this time. There are a nearly infinite number of ways to rendezvous with a target spacecraft in orbit.
Level1Tutorial56	This time, we'll be using a different frame of reference. Change it with this dropdown.
Level1Tutorial57	Switch the frame of reference to the Methane Depot.
Level1Tutorial58	Your trajectory looks very different, no longer a simple elliptical orbit anymore. It hasn't really changed, you're simply viewing it in reference to the destination now.
Level1Tutorial59	Mouse over the trajectory. Everything moves except for the current frame of reference, the Methane Depot. This makes it easy to rendezvous with your destination, because it never moves as time passes.
Level1Tutorial60	When you're ready, select a point on the trajectory. Remember, closer to the start on the trajectory is nearer in time.
Level1Tutorial61	Observe how your trajectory changes when you select and move the tangential (red) thrust handle.
Level1Tutorial62	From this frame of reference, the path changes in a very different manner based on the sort of burns you execute. The actual burns are the same, but the perspective is different. Try seeing how the path changes when you use the perpendicular (green) thrust handle.
Level1Tutorial63	Using both the red and green thrust handles together (remember that blue is out-of-plane, which we don't need), try to make the trajectory come close enough to the Methane Depot that a green join icon appears. When you get it, select that icon to join.
Level1Tutorial64	Once you have a successful plot, return to the default frame of reference.
Level1Tutorial65	Set Luna as the current frame of reference.
Level1Tutorial66	In Luna's Frame of Reference, the orbit looks much more like a standard elliptical orbit. Go ahead and run the turn until the fleets join up.
Level1Failure	Unfortunately, you have failed this mission. No worries, restart the mission, and we'll give it another go.
Level1Success	Mission Accomplished! You've got a firm enough grasp of orbital spaceflight to start doing serious missions now!

Level False Flag	False Flag
Level False Flag Description
	First of all, let me congratulate you on getting through your first mission. Just in time, too, because we've got our first combat mission for you. Don't be concerned, the firepower that we will provide you with vastly outmatches the enemy's, and your tactical officer will similarly provide help from time to time.
	A few days ago, a small combat vessel belonging to the United Sol Trade Alliance allegedly went rogue around Ganymede and attacked one of our cargo freighters. The USTA have disavowed any support for such an act, but the rest of us at the republic high command disbelieve such a claim. In all likelihood, this is yet another provocation ordered directly from the USTA headquarters itself. We're going to be spinning this story as firmly placing the blame on the USTA.
	But that's our concern. Your only concern is to eliminate this rogue craft. Ganymede is jointly controlled by us, the USTA, and nearly every other faction in the entire solar system. We have a warship in orbit around Ganymede as well. Take it and tear the enemy craft to pieces. Its weapons vastly outrange the enemy's weapons, so a combat encounter should be a foregone conclusion. Simply make the orbital intercept to enter combat with the enemy ship, and your crew should handle the rest.
	Your opponent for this mission is one USF Captain Jake Charron, a USF captain with a known history of poorly made decisions and rash aggression. He is best known for playing a minor role in the USTA's takeover of Enceladus as the designated civilian-craft disabler.
Level False Flag ShortDescription	Intercept and destroy an enemy spacecraft around Ganymede using overwhelming firepower.

Level2Tutorial1	Hello, Admiral. Don't worry about combat for now, just intercept your enemy. When you do enter combat, the tactical officer will give you a run down of your options.
Level2Tutorial2	A note on this mission. The enemy's orbit is elliptical rather than circular. As a result, if you do try to orbit phase like last mission, it will only work properly at the periapsis of their orbit.
Level2Tutorial3	One more concern. Jupiter will perturb your orbits heavily, meaning you won't have perfect ellipses for orbits. This may further confound your orbit phasing.
Level2Tutorial4	Welcome to combat! Combat begins paused though you can disable this in the options.
Level2Tutorial5	First of all, this is your range finder. The white circles tell you the range to the enemy. In the center of it, it tells you the relative velocity to the enemy, and in what direction.
Level2Tutorial6	Up here, you can see how long it will take until your ship will fly by the enemy (assuming no one speeds up or slows down).
Level2Tutorial7	The red diamond at the top is the enemy, and the green diamond at the bottom is your spacecraft. Select your spacecraft.
Level2Tutorial8	The arc lines indicate the ranges of your weapons. The arc is blue if it is out of range, and orange if it is in range.
Level2Tutorial9	All of your weapons auto-fire by default, though most are on the sides of your ship, so they need to be swung around to fire. Get into range, swing your ship into a broadside, and your guns will start blasting.
Level2Tutorial10	You can give your ship orders with this button.
Level2Tutorial11	Homing tells your ship to chase the enemy ships at top speed. Select this order now.
Level2Tutorial12	Now select the enemy ship.
Level2Tutorial13	Now that the enemy is selected, in the range finder, you can see the enemy's weapon ranges against your own ship.
Level2Tutorial14	You can target the enemy's systems here. Targeting too many systems at once will defocus your fire, so go with a single target. What you target is the most important tactical decision you can make in combat!
Level2Tutorial15	Target exactly one of their systems now.
Level2Tutorial16	That's all. You can toggle pause and unpause with [SPACE]. Good luck!
Level2Tutorial17	Your ship's weapons are in range! Select your craft now.
Level2Tutorial18	Your railgun's arc line is orange rather than blue, indicating that it is in range.
Level2Tutorial19	Your railguns are on the sides of your ship, so they can't aim at the enemy until you swing your ship around. Open up the orders popup to do so.
Level2Tutorial20	Give your ship a broadside order to swing your ship about.
Level2Tutorial21	Once your guns are in range and in arc, they will fire automatically. It may take a while before the projectiles hit, because the enemy is tens of kilometers away. Unpause when ready with [SPACE].
Level2Tutorial22	The enemy is suffering damage! Select the enemy craft and we can watch it happen.
Level2Tutorial23	As the enemy takes damage, watching them is a good way to see if your attacks are effective. If not, you'll want to target different systems.
Level2Tutorial24	Your ship is taking hits! Select it now.
Level2Tutorial25	If the enemy's laser is hitting you, you won't be seeing it because lasers are invisible in space. The effects of it will become apparent visually as it carves through our hull, however.
Level2Tutorial26	We're taking serious damage! Select your ship.
Level2Tutorial27	Note that we've lost a module, likely due to the enemy laser's precise cutting. If you lost a gun, you may want to swing around with a Reorient order to allow the guns on the other side of your ship to start firing.
Level2Tutorial28	We took out an enemy module! Let's select their craft.
Level2Tutorial29	You can find the modules you've destroyed or disabled in this section, both next to each module, and at the very bottom.
Level2Failure	You have failed to eliminate the rogue craft in time.
Level2Success	Good work! That captain will no longer be an issue for anyone anymore.

Level Predatory Opportunism	Predatory Opportunism
Level Predatory Opportunism Description
	Given your performance last mission, we at high command think you're ready for your first dangerous encounter. Just in time, too.
	After you wrecked the USTA's 'rogue' spacecraft around Ganymede, we just saw a spike in aggressive USTA activity, especially around the belt. In particular, they had a warship patrolling the belt when they received word of us destroying their 'rogue' spacecraft. Shortly thereafter, they diverted that spacecraft to Mercury. Jointly controlled by us and another faction, Mercury is rather important for our tactical operations.
	Ordinarily, we'd send numerous threats and warnings for the USTA to not violate our orbital space, perhaps hitting them with trade sanctions, but actually making good on those threats wouldn't be worth it to us.
	Here's the issue, however. With tensions rising over property rights with the United Sol Trade Alliance these last few years, and with their aggression at Ganymede, we've starting to do a lot of things we might not normally do. In particular, we've threatened destruction of their ship if they violate our orbital space, which they have, so we're going to make good on our promise. You're going to destroy their ship.
	Mercury is jointly controlled by our faction and the Iroquois Resurgence, a faction with a pretty shaky history with the USTA, and we at high command were all too happy to take advantage of that fact. We've cut a deal with the faction, and they agreed to close down all spaceports of Mercury in exchange for allowing them limited use of our solar-wide propellant depot infrastructure.
	Right now, the enemy warship is orbiting around Mercury, unable to dock or land to refuel, making it a sitting duck, perfect for us to tear apart. We have a small carrier in orbit around Mercury which you will use to you convert the USTA ship into scrap metal.
	Ignore their warnings of retaliation, any attempts to surrender, and their protests of Mercury orbital space being a neutral zone. Their ship is quite powerful, especially at gun range, and the opportunity to annihilate while it is low on delta-v far outweighs the consequences. On that note, I'd recommend you keep your capital ship out of combat range, because the coilgun they have mounted on that ship both outranges your capital ship's weapons, and is extremely powerful. The ship itself is commanded by USF Captain Aleksandr Zhou, a captain with no live combat experience. Regardless of his history, do not expect him to hold back once you enter range.
	You'll need to be quick about destroying their ship, however. The USTA has reinforcements en route from the asteroid belt, and we estimate that we have about 15 days before we have to call off the attack, lest we be forced to engage with a stronger enemy force with actual delta-v.
Level Predatory Opportunism ShortDescription	Destroy a dangerous enemy ship that is in an out of plane orbit around Mercury.

Level3Tutorial1	For this mission, Admiral, I recommend launching drones to take out your enemy. Drones are much smaller than your capital ships, and so can get much closer to the enemy before the enemy can target them effectively.
Level3Tutorial2	Let's open up your fleet now and I'll show you how to launch them.
Level3Tutorial3	Inspect your fleet. Remember that this button has a hotkey [F] like many other buttons. You can find the hotkey in the tooltip of each button, if applicable.
Level3Tutorial4	You can launch drones using the buttons in this panel, in small to large groups. By default, they will split out into a separate fleet. However, you can change this with the circular toggle buttons.
Level3Tutorial5	Something to note, however. Your drones have somewhat less delta-v than your capital ship. You may want to get your main ship closer to the enemy before launching drones. For instance, if you enter into the enemy orbital plane and then launch drones, your drones won't have to spend the delta-v for that out-of-plane maneuver.
Level3Tutorial6	Feel free to experiment to find the solution that works best for you.
Level3Tutorial7	One last point about drones. Canceling their initial order can be valuable for saving delta-v when not in range, since they burn through their delta-v a lot in combat. Good luck!
Level3Failure	The offensive was unsuccessful. Keep your capital ship out of range of the enemy until you can disable their coilguns.
Level3Success	Excellent! This undeclared war is starting on a very good note, indeed, Admiral. Now let's get back to port before enemy reinforcements arrive.

Level A Small Diversion	A Small Diversion
Level A Small Diversion Description
	Our propaganda machine is already spinning the exchange with the USTA as a positive, and the majority of the solar system appears to believe that the USTA fired first. As expected, given the Falklands Precedent set centuries ago, the USTA have not officially declared war, and so neither will we. Regardless, we expect retribution over the coming months, and we are preparing for all out undeclared war.
	On your end, we have a new task ready for you. Since the first major exchange between two major factions in modern history has just taken place, we're diverting any of our crafts away from any celestial bodies with a major USTA presence. We had a research craft, under the command of Captain Mendoza, en route to Ida, but the USTA practically owns everything on that rock, and everything in orbit around it, too. Thus, we had to divert the science vessel to Pallas, and the spacecraft ended up being extremely short on delta-v after injecting.
	Pallas is actually devoid of allied crafts currently, and the Nippon Prime faction controlling most of Pallas is refusing our demands to refuel it. We suspect the USTA has had a hand in influencing Nippon Prime's decision, via money or military threats, to refuse to help us.
	Your mission is to try to finish up the rendezvous with the scant delta-v left in our craft's tanks. It'll be tight, but we're sure it's doable, and it should really help you hone your orbital maneuvering skills. You have fifteen days before their provisions run out.
Level A Small Diversion ShortDescription	Rendezvous a research craft with a space station on a low delta-v budget around Pallas.

Level4Tutorial1	For this mission, you will find very quickly that maneuvers will take up all your remaining delta-v. Matching orbits and joining with the target craft will cost significant amounts of delta-v and time. It always costs this, but this mission is the first time where you don't have enough delta-v to ignore this cost.
Level4Tutorial2	To minimize the amount of delta-v used for these maneuvers, try to enter into them at a similar velocity. This is best done by entering at as shallow of an angle as possible. For instance, when matching an orbit, hitting the orbit head on is sure to be expensive, while barely brushing by it is far cheaper to match.
Level4Tutorial3	One more note on these maneuvers. You do not have to exactly select the orbit icon to excute a match orbit. Anywhere nearby that icon on the trajectory can also allow you to match the orbit, and varying distance away from the icon can affect delta-v and time cost. The same goes for all such similar maneuvers.
Level4Failure	We're on our last legs. Thank you for trying to help, but it's all over for me and my crew.
Level4Success	Thank you! The crew was starting to get concerned we'd be left floating forever around Pallas, orbiting a tiny rock in the vast nothing of space. Next time we're in a allied spaceport, drinks are on me.

Level Orbital Fallout	Orbital Fallout
Level Orbital Fallout Description
	While you were busy finishing up diverting our crafts from USTA space ports, it seems like the USTA had the opposite idea. A USTA warship, taking a long journey from Jupiter has entered orbit around our asteroid Eros, a blatant provocation.
	Despite the fact that Eros is just a little asteroid in the belt, and holds only a tiny population compared to most of the other belt rocks, we have valuable assets there.
	For one, we've been stockpiling weaponry, and slowly but surely building warships on almost all of our celestial bodies, belt or otherwise. In particular, at the Erotian shipyard, we've been building a prototype Siloship, a medium sized capital ship devoted towards carrying an enormous payload of nuclear weapons. If there is anything we learned from the cataclysm, it's that there exists no problem which can't be solved by judiciously applying nuclear ordnance.
	Naturally, we're not keen on letting that prototype warship fall into enemy hands, but the nearest warship we have, a corvette around Massalia, is months away. The only thing we can do is activate the mostly-finished prototype and defend ourselves. It's propellant tanks are not filled, and it's only partially stocked with ammo and nuclear missiles, but it should do.
	The USTA's ship itself appears to be a nuclear enabled missile schooner, captained by USF Captain Albert Gaertner, who we have no records on. We've given him multiple warnings, but he has ignored all our hails. We suspect that the USTA has received intel about what was being built at Eros, and that is exactly why they sent Captain Gaertner there, so we're not going to hesitate to eliminate him. Don't expect him to hesitate to engage either.
	For this mission, you should have no qualms about conserving delta-v, and instead burn your missiles in a trajectory directly at the enemy. The faster your missiles intercept the enemy, the less time the enemy has to react with point defense weapons.
	Just destroy the Captain Gaertner's ship, and ensure both our Siloship and our shipyard remain functioning. Our propaganda machine will deal with the political fallout of a nuclear exchange, so do not be afraid to turn Captain Gaertner into radioactive ash.
Level Orbital Fallout ShortDescription	Defend both a space station and a spacecraft, and destroy an aggressive enemy craft.

Level5Tutorial1	Whenever you have an enemy that is poised to go on the offensive, you may want to run the turn first to see what they do.
Level5Tutorial2	Looks like they're keen on taking you out immediately. When their missile fleet intercepts you, we can deal with them in combat.
Level5Tutorial3	If enemy missiles are incoming, you should launch decoy flares to throw them off!
Level5Tutorial4	Your decoy flares should be effective so long as the flares' emitted power is greater than your spacecraft's heat signature, which they currently are. You should launch more when the missiles get closer.
Level5Failure	Our strategic assets around Eros have been damaged beyond repair.
Level5Success	Close call there, Admiral. Our shipyard workers are safe, and our prototype has survived. Good work.

Level Lagrange Point Graveyard	Lagrange Point Graveyard
Level Lagrange Point Graveyard Description
	Well, it looks like the USTA fleet en route to Davida may have just been a feint after all. It diverted from Vesta to our second major stronghold in the belt, Ceres. We had been shipping off many of our warships from Ceres to Vesta when they made their invasion burn to Ceres. We only had a month to react, far too little time to execute a turnaround of those ships, and far too little time to muster any forces from any of our other rocks in the belt, from Vesta, or anywhere else.
	The United Sol Trade Alliance war fleet wiped out our remaining defense fleet around Ceres except our flagship. When the battle went badly, the rest of the fleet was sacrificed to cover the escape of the flagship, which fled Ceres into a solar freefall. It afterwards used the last of it's delta-v to capture into a tadpole orbit around the Mercury-Sun Lagrange Point 4.
	The flagship holds one of our most esteemed military leaders, Admiral Yanti Sutedja, commander of the Ceres defense fleet, and the crew has somewhat over three months of food left, as they were not planning for such a situation. We have a Methane Tanker in orbit around Mercury. Rendezvous it with the disabled ship and rescue the crew before they run out of food. We'll send more ships later to recover the flagship, when they can finally arrive at Mercury, but for your mission, you just need to rendezvous with the flagship before one of our top brass starves to death.
Level Lagrange Point Graveyard ShortDescription	Rendezvous a rescue craft to a disabled ship in Mercury's 4th Lagrange Point before it runs out of food.

Level6Tutorial1	In case you haven't discovered it already, you can toggle on and off the visibility of Lagrange Points. You may find it useful for this mission.
Level6Tutorial2	All five of the Mercury-Sun Lagrange Points have shown up. However, the only one you should worry about is the L_4 point, which is what the target ship is orbiting right now. Find it now.
Level6Tutorial3	This is the point that your target is orbiting in a tadpole orbit. When you get closer, you may want to use it as your frame of reference.
Level6Tutorial4	You're going to need to escape Mercury's gravity, and fall into orbit around the sun to get to the Mercury-Sol L_4 Point. Because L_4 is in front of Mercury along Mercury's orbit, you'll want a tighter orbit to catch up.
Level6Tutorial5	You should select a point on your trajectory nearest to Sol. This is because your ship will be going in the opposite direction of Mercury around Sol there. On the other side of Mercury, you'd have to essentially make a retrograde burn to escape Mercury's orbit.
Level6Tutorial6	If you have the correct point, escaping via a tangential burn is vastly more delta-v efficient than via a radial burn. You should need much less than 1 km/s to escape Mercury's orbit this way.
Level6Tutorial7	Your trajectory will achieve escape from Mercury's orbit if the line curves away from Mercury rather than remaining in an ellipse. Once you have that, you'll want to change your frame of reference next.
Level6Tutorial8	Assuming your trajectory escapes Mercurial orbit, having Mercury as a frame of reference makes no sense. Switch to Sol as your reference frame.
Level6Tutorial9	Now zoom out as far as you can. If you've successfully made an escape trajectory from Mercury, your orbit should now appear to be a circle or ellipse around Sol, indicating that your ship will be orbiting Sol, rather than Mercury.
Level6Tutorial10	You should be able to figure out the rest of the intercept on your own at this point. Good luck!
Level6Failure	Looks like you're not going to make it in time. What a shame. I'm sending over a vid of each of the crew's final words. Please make sure their families receive them.
Level6Success	Just in time, Admiral. Thanks for the rescue.

Level The Interamnian Incident	The Interamnian Incident
Level The Interamnian Incident Description
	Well, this is most unfortunate. One of our warships in orbit around Interamnia has mutinied, imprisoned the captain, and seized control of the ship. We assure you, it's an isolated incident, and not endemic to our entire military or anything like that.
	The first officer, Commander Rahimi, has made a number of demands which you need not bother yourself with. These demands, however, makes him firmly an enemy of the state, guilty of high treason, to be executed without trial, as per the laws of our republic. Ordinarily, we would recommend you take the nearest allied ship, a gunship, and nuke Rahimi's ship into hot plasma, no questions asked, but there's a bit of a wrinkle.
	The skipper of this ship is Captain Shinta Chandra, daughter of Senator Chandra, the most powerful senator in the parliament of Mars, if not the entirety of this republic. Nuking his daughter out of existence would be a disaster, especially since his ties with the rare metals mining industry are key to supplying our entire war effort.
	With that in mind, we need to instead tread this issue with delicacy. We still intend to make Rahimi disappear, so the plan is to close in and disable the enemy spacecraft. Knock out their weapons and engines, so we can approach with a boarding party and CQC the ship. For taking out their weapons, you can either destroy their weapons directly, or you can simply shoot out their powerplant. And for the engines, you can go for the engines or all of their propellant tanks, just so long as the ship has zero delta-v at the end.
	And I must stress to you that the crew compartments of this ship are not to be destroyed. If Captain Chandra is killed in the crossfire, we'll try to spin a story blaming the USTA or anyone else, but I don't think the senator is going to buy it. If he discovers the truth, I doubt even your mother will be able to save you, president or not. Probably won't reflect too well on her political career either.
Level The Interamnian Incident ShortDescription	Disable an enemy ship around Interamnia that has mutinied, but do not destroy it.

Level7Tutorial1	In order to precisely disable the enemy's ship, Admiral, I'd recommend doing two things: disable any of our own weapons that will do too much damage, and target specific modules on the enemy.
Level7Tutorial2	We can target specific modules of the enemy ship when we inspect their fleet.
Level7Tutorial3	Remember that we can prioritize what modules we target here. If we don't, our guns will just shoot at everything on their ship, which is not a good idea when we're trying to surgically disable the enemy's craft.
Level7Tutorial4	A very important note here. I would target only a single set of modules at a time! This craft is frail against to our guns, and barraging multiple systems at the same time is an easy way to destroy the entire ship, which would fail the mission.
Level7Tutorial5	When you're done with choosing a single module target, let's go back.
Level7Tutorial6	Let's check out our own ship now.
Level7Tutorial7	Inspect it.
Level7Tutorial8	You have a missile launcher, a laser, and several different coilguns and railguns. You're going to want to disable the ones that are too powerful or too inaccurate to precisely disarm the enemy.
Level7Tutorial9	Also, remember that missiles are homing, which means they go after heat sources, and are unaffected by your target prioritizing. I would recommend disabling the launchers for this mission as a result, otherwise they will auto-launch at close ranges.
Level7Tutorial10	In order to determine what weapon is neither too powerful nor too weak, as well as accurate enough for this mission, here's what I would recommend. Try disabling all weapons except for one of them, and seeing how effective it is against the enemy, and cycle through your weapons in this way.
Level7Tutorial11	One final word. Combat begins at the longest range of all weapons of all ships. Thus, if we disable the longer range weapons, combat will start much closer. At close range, all projectile weapons will be much more accurate, because mass weapons fired at the very edge of their range are at their worst accuracy. Good luck!
Level7Taunt	You're in command? Aren't you the president's kid? Listen to me, stop your attack. This doesn't have to end in violence. You of all people should understand my reasons for doing what I did. Stop the attack, and just hear me out. The republic high command is lying to you, and --- <TRANSMISSION JAMMED>
Level7Failure	You destroyed the crew modules! The Captain is dead! You're military career is likely going to be over when Senator Chandra finds out the truth.
Level7Success1	I'm ordering the crew to stand down. We surrender. Once again, you've proved exactly what kind of people run this republic.
Level7Success2	Good work, Admiral. We'll begin prepping the boarding parties now.

Level Force Projection	Force Projection
Level Force Projection Description
	Just a follow up to the previous mission. You did an excellent job handling that situation, and both Senator Chandra and Captain Chandra have passed along their thanks to you. And in case you had any doubts about what you did, we've just discovered Commander Rahimi has been receiving funding from an anonymous source linked to the USTA. On top of that, we've uncovered numerous more counts of corruption, bribery, and sexual assault all linked to that man, so rest assured, he was a bad person, and you did the right thing in eliminating him.
	That aside, your next mission is refocused around the USTA's impending military maneuvers. They actually have the gall to enter a small military fleet into high orbit around Mars, and it's been idling in that orbit, making no aggressive moves at all. With Mars as our HQ, we have more than enough firepower to wipe out that fleet, but high command is a little nervous that they could have the confidence to enter orbit around the hornet's nest.
	It could be simple force projection to keep us cautious and deterred, or perhaps it's a feint, a trick to draw out our primary Martian defense force, most of which is hidden underground in concealed bunkers, or it could be a gather intel on us from close range. Or maybe it is all of the above.
	Regardless, no one in high command likes it, and you can be assured that the people of Mars are not happy about this news either. We need to get rid of these ships, but we'd like to do it with as little firepower as possible, so as not to reveal our forces, and just in case they have some trick up their sleeves. With that in mind, you'll be commanding a carrier to dispatch the enemy fleet.
